title,description
Mufasa : Le Roi Lion,"Rafiki raconte à la jeune lionne Kiara - la fille de Simba et Nala – la légende de Mufasa. Il est aidé en cela par Timon et Pumbaa. Relatée sous forme de flashbacks, l'histoire de Mufasa est celle d’un lionceau orphelin qui, un jour, fait la connaissance du sympathique Taka, héritier d'une lignée royale."
Sonic 3 - le film,"Sonic, Knuckles et Tails se retrouvent face à un nouvel adversaire, Shadow, mystérieux et puissant ennemi aux pouvoirs inédits. Dépassée sur tous les plans, la Team Sonic va devoir former une alliance improbable pour tenter d’arrêter Shadow et protéger notre planète."
Un ours dans le jura,"Michel et Cathy forment un couple usé par le temps et les difficultés financières. Un jour, Michel, pour éviter un ours sur la route, heurte une voiture et tue les deux occupants. Dans le coffre, ils trouvent 2 millions en billets usagés..."
En fanfare,"Thibaut est un chef d’orchestre de renommée internationale qui parcourt le monde. Lorsqu’il apprend qu’il a été adopté, il découvre l’existence d’un frère, Jimmy, employé de cantine scolaire et qui joue du trombone dans une fanfare du nord de la France. En apparence tout les sépare, sauf l’amour de la musique. Détectant les capacités musicales exceptionnelles de son frère, Thibaut se donne pour mission de réparer l’injustice du destin. Jimmy se prend alors à rêver d’une autre vie…"
Vaiana 2,"Après avoir reçu une invitation inattendue  de ses ancêtres, Vaiana entreprend un périple qui la conduira jusqu’aux eaux dangereuses situées aux confins des mers des îles du Pacifique. Elle y vivra des péripéties comme jamais vécues auparavant."
Vingt dieux,"Totone, 18 ans, passe le plus clair de son temps à boire des bières et écumer les bals du Jura avec sa bande de potes. Mais la réalité le rattrape : il doit s’occuper de sa petite sœur de 7 ans et trouver un moyen de gagner sa vie. Il se met alors en tête de fabriquer le meilleur comté de la région, celui avec lequel il remporterait la médaille d'or du concours agricole et 30 000 euros."
Nosferatu,"Nosferatu est une fable gothique, l’histoire d’une obsession entre une jeune femme tourmentée et le terrifiant vampire qui s’en est épris, avec toute l’horreur qu’elle va répandre dans son sillage."
L'Amour au présent,"Almut et Tobias voient leur vie à jamais bouleversée lorsqu'une rencontre accidentelle les réunit. Une romance profondément émouvante sur les instants qui nous changent, et ceux qui nous construisent."
La Chambre d’à côté,"Ingrid et Martha, amies de longue date, ont débuté leur carrière au sein du même magazine. Lorsqu’Ingrid devient romancière à succès et Martha, reporter de guerre, leurs chemins se séparent. Mais des années plus tard, leurs routes se recroisent dans des circonstances troublantes…"
"Sarah Bernhardt, La Divine","Paris, 1896. Sarah Bernhardt est au sommet de sa gloire. Icône de son époque et première star mondiale, la comédienne est aussi une amoureuse, libre et moderne, qui défie les conventions. Découvrez la femme derrière la légende."
Conclave,"Quand le pape décède de façon inattendue et mystérieuse, le cardinal Lawrence se retrouve en charge d’organiser la sélection de son successeur. Il se rend compte que le défunt leur avait caché un secret qu'il doit découvrir avant qu'un nouveau Pape ne soit choisi."
Criminal Squad : Pantera,"La suite des aventures de ""Big Nick"" O'Brien qui traque les méchants dans les rues d'Europe et se rapproche de la capture de Donnie. Pendant ce temps, ce dernier s'est laissé entraîner dans le monde dangereux des voleurs de diamants et de la mafia des Panthères."
Wolf Man,"Et si l’être que vous aimez se transformait en une créature à peine reconnaissable ? Alors qu'une famille se rend dans la maison d'enfance du père, celui-ci est attaqué par un animal et ne tarde pas à se métamorphoser en une créature méconnaissable…"
Six jours,"Nord de la France, 2005 : Malik, inspecteur de police, assiste impuissant à la mort d’une enfant suite à un kidnapping. En charge de l’enquête, il échoue à retrouver le meurtrier. DIX ANS PLUS TARD, sans élément nouveau, sans trace d'un dangereux criminel qui court toujours, l'affaire s’apprête à être classée définitivement. Mais quand de nouveaux faits en lien avec l’affaire se révèlent, Malik entame une course contre la montre dans l’espoir de résoudre l'enquête avant l’expiration du délai de prescription. Dans Six Jours. C’est le temps qui lui reste pour retrouver le coupable."
Babygirl,"Romy, PDG d’une grande entreprise, a tout pour être heureuse : un mari aimant, deux filles épanouies et une carrière réussie. Mais un jour, elle rencontre un jeune stagiaire dans la société qu’elle dirige à New York. Elle entame avec lui une liaison torride, quitte à tout risquer pour réaliser ses fantasmes les plus enfouis…"
